i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
0,1,"(0, 0)","(0.25, 0.25)","(0.0, 0.0)","(0.5, 0.5)",0.16645955875611662,1.1491668176994764e-11,0.027708784689789375
1,3,"(0, 4)","(0.0625, 0.5625)","(0.0, 0.5)","(0.125, 0.625)",0.028996768497698968,7.30186041560142e-15,0.0008408125833018453
2,3,"(1, 4)","(0.1875, 0.5625)","(0.125, 0.5)","(0.25, 0.625)",0.037807477379766564,9.463575823260202e-12,0.0014294053363579846
3,3,"(1, 5)","(0.1875, 0.6875)","(0.125, 0.625)","(0.25, 0.75)",0.04716535451798023,1.5317586261116504e-10,0.0022245705136308956
4,3,"(0, 5)","(0.0625, 0.6875)","(0.0, 0.625)","(0.125, 0.75)",0.029020102818981246,2.9024583670065057e-13,0.0008421663673339973
5,2,"(0, 3)","(0.125, 0.875)","(0.0, 0.75)","(0.25, 1.0)",0.06756496448763424,1.229747994027995e-08,0.004565012128735336
6,3,"(2, 6)","(0.3125, 0.8125)","(0.25, 0.75)","(0.375, 0.875)",0.0543624620254756,1.5317586261138368e-10,0.0029552771242954143
7,3,"(2, 7)","(0.3125, 0.9375)","(0.25, 0.875)","(0.375, 1.0)",0.044611727760072335,2.902458366816624e-13,0.0019902062534485634
8,3,"(3, 7)","(0.4375, 0.9375)","(0.375, 0.875)","(0.5, 1.0)",0.05239462372211195,7.301860413024842e-15,0.002745196594974395
9,3,"(3, 6)","(0.4375, 0.8125)","(0.375, 0.75)","(0.5, 0.875)",0.05330445022194951,9.463575823346457e-12,0.0028413644040007173
10,3,"(3, 5)","(0.4375, 0.6875)","(0.375, 0.625)","(0.5, 0.75)",0.0565014575485231,1.1488300679165987e-10,0.0031924145902245504
11,3,"(2, 5)","(0.3125, 0.6875)","(0.25, 0.625)","(0.375, 0.75)",0.08481759399416591,2.3724416163660834e-09,0.007194021878517553
12,3,"(2, 4)","(0.3125, 0.5625)","(0.25, 0.5)","(0.375, 0.625)",0.04888243047795604,1.1488300679150497e-10,0.0023894918945491983
13,3,"(3, 4)","(0.4375, 0.5625)","(0.375, 0.5)","(0.5, 0.625)",0.05279822396488446,4.246836886313041e-12,0.0027876524495992626
14,4,"(8, 8)","(0.53125, 0.53125)","(0.5, 0.5)","(0.5625, 0.5625)",0.029107068703271875,6.093270729929234e-21,0.000847221448496989
15,4,"(8, 9)","(0.53125, 0.59375)","(0.5, 0.5625)","(0.5625, 0.625)",0.029107756493082275,1.189711731888793e-18,0.0008472614880605721
16,5,"(18, 18)","(0.578125, 0.578125)","(0.5625, 0.5625)","(0.59375, 0.59375)",0.015283854578298183,5.431579239637412e-26,0.00023359621077056634
17,5,"(18, 19)","(0.578125, 0.609375)","(0.5625, 0.59375)","(0.59375, 0.625)",0.015283857794558705,5.231656042521861e-25,0.0002335963090842929
18,6,"(38, 38)","(0.6015625, 0.6015625)","(0.59375, 0.59375)","(0.609375, 0.609375)",0.007824786499510294,3.981941684227259e-31,6.122728376291857e-05
19,6,"(38, 39)","(0.6015625, 0.6171875)","(0.59375, 0.609375)","(0.609375, 0.625)",0.007824786578418006,1.0947857387040439e-30,6.122728499779057e-05
20,7,"(78, 78)","(0.61328125, 0.61328125)","(0.609375, 0.609375)","(0.6171875, 0.6171875)",0.003958139708859869,9.307812684827978e-34,1.5666869954853285e-05
21,7,"(78, 79)","(0.61328125, 0.62109375)","(0.609375, 0.6171875)","(0.6171875, 0.625)",0.003958139714659853,9.210405069940603e-34,1.5666870000767583e-05
22,7,"(79, 79)","(0.62109375, 0.62109375)","(0.6171875, 0.6171875)","(0.625, 0.625)",0.0053104581143173625,9.27944119556751e-08,2.810817097196344e-05
23,7,"(79, 78)","(0.62109375, 0.61328125)","(0.6171875, 0.609375)","(0.625, 0.6171875)",0.0053104581120690456,9.27944119556753e-08,2.8108170948084257e-05
24,7,"(79, 77)","(0.62109375, 0.60546875)","(0.6171875, 0.6015625)","(0.625, 0.609375)",0.005310458110139418,9.279441195567542e-08,2.8108170927589847e-05
25,7,"(78, 77)","(0.61328125, 0.60546875)","(0.609375, 0.6015625)","(0.6171875, 0.609375)",0.003958139703882007,9.316666085835093e-34,1.566686991544714e-05
26,7,"(78, 76)","(0.61328125, 0.59765625)","(0.609375, 0.59375)","(0.6171875, 0.6015625)",0.003958139699733311,9.349106056497942e-34,1.56668698826049e-05
27,7,"(79, 76)","(0.62109375, 0.59765625)","(0.6171875, 0.59375)","(0.625, 0.6015625)",0.0053104581085312115,9.279441195567546e-08,2.810817091050921e-05
28,7,"(79, 75)","(0.62109375, 0.58984375)","(0.6171875, 0.5859375)","(0.625, 0.59375)",0.00531045810722817,9.279441195567559e-08,2.810817089666972e-05
29,7,"(79, 74)","(0.62109375, 0.58203125)","(0.6171875, 0.578125)","(0.625, 0.5859375)",0.0053104581062008325,9.279441195567552e-08,2.8108170885758454e-05
30,7,"(78, 74)","(0.61328125, 0.58203125)","(0.609375, 0.578125)","(0.6171875, 0.5859375)",0.003958139693721626,9.379977936063891e-34,1.566686983501473e-05
31,7,"(78, 75)","(0.61328125, 0.58984375)","(0.609375, 0.5859375)","(0.6171875, 0.59375)",0.003958139696371849,9.405898964031965e-34,1.5666869855994636e-05
32,6,"(38, 37)","(0.6015625, 0.5859375)","(0.59375, 0.578125)","(0.609375, 0.59375)",0.007824786445905202,1.2211668411885337e-31,6.122728292402176e-05
33,6,"(38, 36)","(0.6015625, 0.5703125)","(0.59375, 0.5625)","(0.609375, 0.578125)",0.007824786413233444,3.265285471016365e-32,6.122728241272271e-05
34,7,"(78, 72)","(0.61328125, 0.56640625)","(0.609375, 0.5625)","(0.6171875, 0.5703125)",0.003958139690165062,9.420005355419315e-34,1.566686980685997e-05
35,7,"(78, 73)","(0.61328125, 0.57421875)","(0.609375, 0.5703125)","(0.6171875, 0.578125)",0.003958139691686991,9.503452597358233e-34,1.5666869818907987e-05
36,7,"(79, 73)","(0.62109375, 0.57421875)","(0.6171875, 0.5703125)","(0.625, 0.578125)",0.005310458105412122,9.279441195567568e-08,2.8108170877381634e-05
37,7,"(79, 72)","(0.62109375, 0.56640625)","(0.6171875, 0.5625)","(0.625, 0.5703125)",0.005310458104822159,9.279441195567572e-08,2.8108170871115687e-05
38,7,"(79, 71)","(0.62109375, 0.55859375)","(0.6171875, 0.5546875)","(0.625, 0.5625)",0.0053104581043919834,9.279441195567572e-08,2.8108170866546825e-05
39,7,"(78, 71)","(0.61328125, 0.55859375)","(0.609375, 0.5546875)","(0.6171875, 0.5625)",0.003958139689055335,9.478838847677968e-34,1.5666869798075062e-05
40,7,"(78, 70)","(0.61328125, 0.55078125)","(0.609375, 0.546875)","(0.6171875, 0.5546875)",0.003958139688266249,9.494513789339695e-34,1.5666869791828438e-05
41,7,"(79, 70)","(0.62109375, 0.55078125)","(0.6171875, 0.546875)","(0.625, 0.5546875)",0.0053104581040861005,9.279441195567575e-08,2.8108170863298064e-05
42,7,"(79, 69)","(0.62109375, 0.54296875)","(0.6171875, 0.5390625)","(0.625, 0.546875)",0.005310458103873923,9.279441195567572e-08,2.810817086104454e-05
43,7,"(79, 68)","(0.62109375, 0.53515625)","(0.6171875, 0.53125)","(0.625, 0.5390625)",0.005310458103730308,9.279441195567572e-08,2.8108170859519217e-05
44,7,"(78, 68)","(0.61328125, 0.53515625)","(0.609375, 0.53125)","(0.6171875, 0.5390625)",0.0039581396873484085,9.450175152617136e-34,1.5666869784562556e-05
45,7,"(78, 69)","(0.61328125, 0.54296875)","(0.609375, 0.5390625)","(0.6171875, 0.546875)",0.003958139687718895,9.513079253242993e-34,1.5666869787495434e-05
46,6,"(38, 34)","(0.6015625, 0.5390625)","(0.59375, 0.53125)","(0.609375, 0.546875)",0.007824786386336432,4.2859703198751264e-33,6.122728199179595e-05
47,6,"(38, 35)","(0.6015625, 0.5546875)","(0.59375, 0.546875)","(0.609375, 0.5625)",0.007824786395273153,9.122186790305282e-33,6.122728213165182e-05
48,5,"(18, 17)","(0.578125, 0.546875)","(0.5625, 0.53125)","(0.59375, 0.5625)",0.015283853438602505,2.8730423325252617e-27,0.00023359617593268162
49,5,"(18, 16)","(0.578125, 0.515625)","(0.5625, 0.5)","(0.59375, 0.53125)",0.015283853164244809,7.690291856448169e-29,0.00023359616754619605
50,6,"(38, 32)","(0.6015625, 0.5078125)","(0.59375, 0.5)","(0.609375, 0.515625)",0.007824786380644846,3.62452864854605e-33,6.122728190272507e-05
51,6,"(38, 33)","(0.6015625, 0.5234375)","(0.59375, 0.515625)","(0.609375, 0.53125)",0.007824786382301259,3.6156556865782566e-33,6.122728192864722e-05
52,7,"(78, 66)","(0.61328125, 0.51953125)","(0.609375, 0.515625)","(0.6171875, 0.5234375)",0.003958139686945786,9.476323932615678e-34,1.5666869781375286e-05
53,7,"(78, 67)","(0.61328125, 0.52734375)","(0.609375, 0.5234375)","(0.6171875, 0.53125)",0.003958139687103647,9.464889954166531e-34,1.5666869782624954e-05
54,7,"(79, 67)","(0.62109375, 0.52734375)","(0.6171875, 0.5234375)","(0.625, 0.53125)",0.005310458103635428,9.279441195567581e-08,2.810817085851151e-05
55,7,"(79, 66)","(0.62109375, 0.51953125)","(0.6171875, 0.515625)","(0.625, 0.5234375)",0.005310458103574234,9.279441195567579e-08,2.8108170857861573e-05
56,7,"(79, 65)","(0.62109375, 0.51171875)","(0.6171875, 0.5078125)","(0.625, 0.515625)",0.005310458103535698,9.279441195567572e-08,2.810817085745228e-05
57,7,"(78, 65)","(0.61328125, 0.51171875)","(0.609375, 0.5078125)","(0.6171875, 0.515625)",0.003958139686846373,9.494749806564821e-34,1.56668697805883e-05
58,7,"(78, 64)","(0.61328125, 0.50390625)","(0.609375, 0.5)","(0.6171875, 0.5078125)",0.003958139686785232,9.501471705706109e-34,1.5666869780104296e-05
59,7,"(79, 64)","(0.62109375, 0.50390625)","(0.6171875, 0.5)","(0.625, 0.5078125)",0.005310458103511998,9.279441195567572e-08,2.810817085720057e-05
60,3,"(5, 4)","(0.6875, 0.5625)","(0.625, 0.5)","(0.75, 0.625)",0.09924437825360329,4.601265827752349e-25,0.009849446614944284
61,3,"(5, 5)","(0.6875, 0.6875)","(0.625, 0.625)","(0.75, 0.75)",0.09924437826946772,1.8502042435602268e-23,0.009849446618093196
62,7,"(79, 95)","(0.62109375, 0.74609375)","(0.6171875, 0.7421875)","(0.625, 0.75)",0.005310458126126053,9.27944119556746e-08,2.810817109738256e-05
63,7,"(78, 95)","(0.61328125, 0.74609375)","(0.609375, 0.7421875)","(0.6171875, 0.75)",0.00395813974512276,9.245992702234266e-34,1.5666870241920465e-05
64,7,"(78, 94)","(0.61328125, 0.73828125)","(0.609375, 0.734375)","(0.6171875, 0.7421875)",0.003958139752468522,9.254625698050598e-34,1.566687030007157e-05
65,7,"(79, 94)","(0.62109375, 0.73828125)","(0.6171875, 0.734375)","(0.625, 0.7421875)",0.005310458128973575,9.27944119556744e-08,2.810817112762585e-05
