run_id,status,alpha,beta,tau,sigma_c,refinement_decay,h,initial_threshold,refine_fraction,coarsen_fraction,zeta,RMSE,PSNR,SSIM,C_rel,basis_size,n_leaves,max_level_used,final_energy,safeguard_accept_rate,runtime_s
183,ok,0.002,0.0005,2e-06,0.05,0.35,1.2,0.02,0.1,0.1,1e-06,0.09414829077807708,20.523751200123716,0.6106349297896744,0.01416015625,58,58,4,0.008406011414546995,1.0,0.21497020893730223
142,ok,0.02,0.0002,2e-06,0.05,0.35,0.5,0.02,0.2,0.2,1e-06,0.09411984482451116,20.52637595034406,0.611364374904463,0.015625,64,64,4,0.00825536998956808,1.0,0.28110654186457396
81,ok,0.005,0.0002,2e-06,0.05,0.35,1.2,0.02,0.05,0.05,1e-06,0.09406558243362509,20.53138502207361,0.6136802288728616,0.0185546875,76,76,4,0.0080464211835518,1.0,0.26584691694006324
23,ok,0.02,0.0005,5e-07,0.35,0.6,1.2,0.012,0.05,0.2,1e-06,0.07755901899003724,22.20735385517452,0.6978653799869614,0.038330078125,157,157,6,0.010539349751209426,0.16666666666666666,0.5650067501701415
53,ok,0.002,0.0005,2e-06,0.35,0.6,0.25,0.012,0.05,0.1,1e-07,0.0761870814618968,22.362373257052862,0.7044794687194725,0.04052734375,166,166,6,0.007411586554387046,1.0,0.34298954205587506
27,ok,0.002,0.0005,2e-06,0.05,0.6,1.2,0.012,0.1,0.05,1e-07,0.07597972606421649,22.386045531502155,0.7055225816270471,0.041259765625,169,169,6,0.007065328673929212,1.0,0.3790359580889344
189,ok,0.002,0.0002,2e-06,0.05,0.6,0.8,0.012,0.05,0.05,1e-06,0.07592412589867992,22.39240398676231,0.7076361967536295,0.042724609375,175,175,6,0.006474034208043715,1.0,0.3406670419499278
145,ok,0.002,0.0005,5e-07,0.08,0.2,1.2,0.012,0.1,0.1,1e-07,0.07576726463390536,22.41036782920822,0.7052278238041955,0.045654296875,187,187,6,0.00676805559250393,1.0,0.38254466699436307
162,ok,0.04,5e-05,2e-06,0.08,0.6,0.5,0.008,0.05,0.1,1e-07,0.05733636249138905,24.831397256750385,0.8339020370822395,0.082275390625,337,337,6,0.006823042670590795,0.6666666666666666,1.094442249974236
160,ok,0.01,5e-05,2e-06,0.12,0.35,0.8,0.008,0.2,0.2,0.0,0.054907369836682055,25.207387185828253,0.8356792397471519,0.08740234375,358,358,6,0.0057519978110301805,1.0,1.2100960838142782
86,ok,0.01,0.0005,2e-06,0.05,0.2,0.25,0.008,0.1,0.1,1e-07,0.05311779009041298,25.495200032553637,0.8532960205310701,0.088134765625,361,361,6,0.006526226814661972,1.0,0.8662094580940902
63,ok,0.005,0.0005,1e-08,0.08,0.2,1.2,0.008,0.2,0.2,0.0,0.05246958963916707,25.601846647476805,0.8509484389352036,0.1005859375,412,412,6,0.0054616017630669264,1.0,1.1776038340758532
103,ok,0.002,0.0005,1e-07,0.05,0.6,0.8,0.008,0.2,0.2,1e-06,0.05245498049548276,25.60426540240534,0.8395034953677462,0.11669921875,478,478,6,0.005303220881294528,1.0,1.1276487919967622
42,ok,0.01,5e-05,2e-06,0.05,0.6,0.8,0.004,0.2,0.2,0.0,0.05231213613517335,25.627950909037654,0.8460605798164469,0.14306640625,586,586,6,0.0053167379546771205,1.0,2.3088736669160426
109,ok,0.01,0.0005,5e-07,0.2,0.6,0.8,0.004,0.05,0.1,0.0,0.051336828290754664,25.791419331278963,0.8036950871249349,0.20166015625,826,826,6,0.005935508040005165,1.0,1.7986185420304537
