run_id,status,alpha,beta,tau,sigma_c,refinement_decay,h,initial_threshold,refine_fraction,coarsen_fraction,zeta,RMSE,PSNR,SSIM,C_rel,basis_size,n_leaves,max_level_used,final_energy,safeguard_accept_rate,runtime_s
183,ok,0.002,0.0005,2e-06,0.05,0.35,1.2,0.02,0.1,0.1,1e-06,0.09414829077807708,20.523751200123716,0.6106349297896744,0.01416015625,58,58,4,0.008406011414546995,1.0,0.21497020893730223
170,ok,0.002,0.0,2e-06,0.35,0.2,0.25,0.02,0.1,0.2,0.0,0.09414394458076485,20.524152178848453,0.6125309954229976,0.015625,64,64,4,0.008048281024162577,1.0,0.2470827081706375
126,ok,0.005,0.0002,5e-07,0.35,0.35,0.25,0.02,0.1,0.1,0.0,0.09415177045054546,20.52343018003649,0.6147789329170201,0.0185546875,76,76,4,0.008772548123928029,1.0,0.23164370795711875
23,ok,0.02,0.0005,5e-07,0.35,0.6,1.2,0.012,0.05,0.2,1e-06,0.07755901899003724,22.20735385517452,0.6978653799869614,0.038330078125,157,157,6,0.010539349751209426,0.16666666666666666,0.5650067501701415
99,ok,0.002,0.0005,2e-06,0.35,0.2,0.25,0.012,0.2,0.1,0.0,0.07619235831724769,22.361771677426393,0.7044812028357039,0.04052734375,166,166,6,0.0074218523002813775,1.0,0.36273108306340873
27,ok,0.002,0.0005,2e-06,0.05,0.6,1.2,0.012,0.1,0.05,1e-07,0.07597972606421649,22.386045531502155,0.7055225816270471,0.041259765625,169,169,6,0.007065328673929212,1.0,0.3790359580889344
59,ok,0.04,0.0005,5e-07,0.35,0.35,0.8,0.012,0.2,0.05,1e-06,0.07829413797521446,22.1254150628822,0.7085418586983112,0.042724609375,175,175,6,0.01432753206071158,0.16666666666666666,0.6748241670429707
30,ok,0.04,0.0002,2e-06,0.35,0.35,0.8,0.008,0.1,0.1,0.0,0.059864142455759724,24.456664686290853,0.8390232206932009,0.082275390625,337,337,6,0.013415350070711745,0.3333333333333333,1.2773172080051154
97,ok,0.01,0.0005,2e-06,0.35,0.6,0.25,0.008,0.05,0.2,1e-07,0.05500761922495867,25.191543025323185,0.840391277310534,0.08740234375,358,358,6,0.008312633755027707,1.0,0.7574898330494761
83,ok,0.005,0.0002,2e-06,0.08,0.2,1.2,0.008,0.1,0.1,1e-07,0.05323563565891494,25.475951117644687,0.8534967228213329,0.088134765625,361,361,6,0.005683732279649079,1.0,0.854464374948293
65,ok,0.02,0.0,2e-06,0.35,0.35,0.5,0.008,0.2,0.05,1e-07,0.05401507049337501,25.349701055771025,0.8708919255057196,0.09326171875,382,382,6,0.00905888036275626,0.3333333333333333,1.591544291935861
