run_id,status,alpha,beta,tau,sigma_c,refinement_decay,h,initial_threshold,refine_fraction,coarsen_fraction,zeta,RMSE,PSNR,SSIM,C_rel,basis_size,n_leaves,max_level_used,final_energy,safeguard_accept_rate,runtime_s
0,ok,0.01,0.0002,1e-07,0.12,0.35,0.6,0.012,0.1,0.1,1e-06,0.07618555362911925,22.362547443013273,0.7036975395056019,0.045654296875,187,187,6,0.006564992097848528,1.0,0.4410437080077827
1,ok,0.005,0.0,1e-07,0.12,0.6,1.2,0.02,0.05,0.1,0.0,0.0942620048023046,20.51326655456199,0.6071499254308267,0.021484375,88,88,4,0.0077433757793623674,1.0,0.28919837484136224
2,ok,0.01,0.0,1e-08,0.12,0.2,0.5,0.012,0.1,0.2,0.0,0.07637759281121537,22.34068066769085,0.7003708088845586,0.048583984375,199,199,6,0.006179122539789148,1.0,0.4564855000935495
3,ok,0.005,0.0005,5e-07,0.08,0.6,0.5,0.02,0.2,0.05,0.0,0.09409043493945779,20.529090478139686,0.6134004714395972,0.019287109375,79,79,4,0.008419106819600262,1.0,0.19492633291520178
4,ok,0.002,5e-05,2e-06,0.12,0.6,0.5,0.004,0.1,0.05,1e-06,0.05658341509336102,24.946216884684482,0.711378771478791,0.239013671875,979,979,6,0.0055862482000545895,1.0,2.2174157919362187
5,ok,0.01,5e-05,2e-06,0.12,0.2,0.8,0.012,0.2,0.2,0.0,0.0763887980163249,22.339406471519816,0.7043067775873932,0.042724609375,175,175,6,0.006735927643449842,1.0,0.4977865000255406
6,ok,0.04,5e-05,2e-06,0.08,0.2,1.2,0.008,0.2,0.1,1e-06,0.05844020640539257,24.66576517694348,0.8310605968833675,0.082275390625,337,337,6,0.006975039061026168,0.5,1.3541257921606302
7,ok,0.02,0.0,2e-06,0.2,0.2,0.8,0.004,0.05,0.05,1e-07,0.05825432483260475,24.693436536953037,0.7117888401536051,0.239013671875,979,979,6,0.007296639273913516,1.0,2.229636166943237
8,ok,0.005,0.0005,1e-07,0.12,0.2,0.25,0.004,0.2,0.2,0.0,0.05262135649812702,25.576759213163704,0.7479415275964053,0.252197265625,1033,1033,6,0.004946720920811589,1.0,3.158594625070691
9,ok,0.04,0.0005,1e-08,0.05,0.6,0.8,0.008,0.2,0.1,1e-06,0.05468860133403049,25.242063672086708,0.8324115825663752,0.11669921875,478,478,6,0.006451560721322461,0.5,1.5773540830705315
10,ok,0.02,0.0005,1e-07,0.12,0.6,0.5,0.008,0.2,0.1,1e-07,0.05512572030720326,25.172914454464014,0.8460860384296108,0.088134765625,361,361,6,0.0065085456575332675,1.0,0.9838238749653101
11,ok,0.002,0.0005,5e-07,0.35,0.2,0.25,0.004,0.1,0.2,1e-07,0.05277700118321292,25.55110580508665,0.7428646857468086,0.2880859375,1180,1180,6,0.005653840067209598,1.0,2.4523448750842363
12,ok,0.04,0.0,2e-06,0.12,0.2,0.8,0.012,0.1,0.1,1e-07,0.07877850656275016,22.071845131036255,0.6932176909698333,0.04052734375,166,166,6,0.008199698187830907,1.0,0.4504497500602156
13,ok,0.01,0.0002,5e-07,0.35,0.6,0.25,0.008,0.05,0.1,1e-06,0.05374666818126634,25.392969060001604,0.8207150482457305,0.11669921875,478,478,6,0.006793037682901701,1.0,1.0035567909944803
14,ok,0.04,0.0,2e-06,0.05,0.35,1.2,0.004,0.05,0.1,0.0,0.05450416516610655,25.27140616014171,0.7636833716029954,0.20166015625,826,826,6,0.00652614911643359,0.3333333333333333,2.9643749580718577
15,ok,0.02,0.0002,2e-06,0.12,0.35,0.25,0.02,0.1,0.1,0.0,0.09469423719554777,20.47352900078508,0.6079981848748943,0.01416015625,58,58,4,0.008901440747411922,1.0,0.19668437517248094
16,ok,0.04,0.0002,2e-06,0.05,0.35,1.2,0.008,0.05,0.05,1e-07,0.053629924474550464,25.41185629281362,0.8666963876849293,0.09326171875,382,382,6,0.006634980997325284,0.6666666666666666,1.2289330828934908
17,ok,0.005,0.0005,1e-08,0.08,0.6,0.8,0.02,0.1,0.1,0.0,0.09413287232306465,20.525173785333205,0.6097032984129281,0.021484375,88,88,4,0.008375624708669165,1.0,0.2622236250899732
18,ok,0.02,0.0002,2e-06,0.2,0.2,1.2,0.004,0.1,0.2,0.0,0.05467579275337327,25.244098226741283,0.844915593241946,0.14306640625,586,586,6,0.0073203487947258155,1.0,2.005176292033866
19,ok,0.002,0.0,1e-07,0.2,0.6,1.2,0.02,0.1,0.1,1e-06,0.09424699678572634,20.514649597014735,0.6073619086071668,0.021484375,88,88,4,0.007630006057554798,1.0,0.26150941592641175
20,ok,0.005,0.0002,5e-07,0.08,0.35,1.2,0.004,0.1,0.1,1e-07,0.05459624265166351,25.256744893816773,0.7224034185900157,0.253662109375,1039,1039,6,0.004313324912939649,1.0,2.705056833103299
21,ok,0.01,0.0002,5e-07,0.08,0.6,0.5,0.012,0.1,0.05,0.0,0.0760238092670972,22.381007466499064,0.7039799686723552,0.045654296875,187,187,6,0.006475904287893845,1.0,0.45594833279028535
22,ok,0.04,0.0005,5e-07,0.12,0.2,1.2,0.012,0.1,0.05,1e-07,0.0791036125653929,22.036073647014902,0.6947795859933759,0.042724609375,175,175,6,0.008785961784020078,1.0,0.4695499169174582
23,ok,0.02,0.0005,5e-07,0.35,0.6,1.2,0.012,0.05,0.2,1e-06,0.07755901899003724,22.20735385517452,0.6978653799869614,0.038330078125,157,157,6,0.010539349751209426,0.16666666666666666,0.5650067501701415
24,ok,0.005,0.0005,1e-08,0.35,0.6,0.25,0.004,0.2,0.05,0.0,0.052813428862280125,25.545112708694017,0.7465485711859509,0.26171875,1072,1072,6,0.005473718178549451,1.0,3.1055450420826674
25,ok,0.02,0.0005,1e-08,0.08,0.35,1.2,0.004,0.2,0.05,1e-07,0.05299346018701951,25.515554449469043,0.7632940812206847,0.2880859375,1180,1180,6,0.005593742116328061,1.0,3.951026832917705
26,ok,0.02,5e-05,5e-07,0.08,0.2,1.2,0.02,0.2,0.1,1e-06,0.0943085646074403,20.50897730265526,0.6068568063963216,0.021484375,88,88,4,0.008340990502442087,1.0,0.3564979580696672
27,ok,0.002,0.0005,2e-06,0.05,0.6,1.2,0.012,0.1,0.05,1e-07,0.07597972606421649,22.386045531502155,0.7055225816270471,0.041259765625,169,169,6,0.007065328673929212,1.0,0.3790359580889344
28,ok,0.01,0.0002,1e-08,0.35,0.35,1.2,0.004,0.05,0.2,1e-06,0.055883913143058524,25.054263820328355,0.713825092901991,0.2880859375,1180,1180,6,0.005509063720825323,0.3333333333333333,3.496875250013545
29,ok,0.02,5e-05,2e-06,0.2,0.2,1.2,0.008,0.05,0.05,1e-06,0.054909641492287484,25.207027836222057,0.864777194044,0.09326171875,382,382,6,0.006786755377814077,1.0,1.02139937505126
30,ok,0.04,0.0002,2e-06,0.35,0.35,0.8,0.008,0.1,0.1,0.0,0.059864142455759724,24.456664686290853,0.8390232206932009,0.082275390625,337,337,6,0.013415350070711745,0.3333333333333333,1.2773172080051154
31,ok,0.04,5e-05,2e-06,0.35,0.6,0.5,0.008,0.05,0.1,0.0,0.060413776076065254,24.37728036942106,0.8383628146898496,0.082275390625,337,337,6,0.01296673138128658,0.3333333333333333,1.2630147500894964
32,ok,0.002,0.0,2e-06,0.08,0.2,0.5,0.008,0.1,0.2,1e-06,0.05391701335972288,25.365483456055593,0.8084543241470237,0.11669921875,478,478,6,0.005157917695177933,1.0,1.1387046249583364
33,ok,0.04,5e-05,1e-08,0.08,0.35,1.2,0.004,0.2,0.1,0.0,0.057993805083703616,24.73236790862191,0.7088770679525946,0.269775390625,1105,1105,6,0.00514785414908872,0.3333333333333333,4.375970416935161
34,ok,0.04,0.0002,2e-06,0.05,0.6,1.2,0.02,0.2,0.05,1e-07,0.09414203442321328,20.52432841520734,0.6120286353721898,0.0185546875,76,76,4,0.00856804908275447,0.16666666666666666,0.3523905829060823
35,ok,0.002,0.0,1e-08,0.35,0.2,1.2,0.004,0.05,0.1,1e-07,0.058455038879117065,24.663560925945788,0.6823610102968718,0.2880859375,1180,1180,6,0.00290055120403659,1.0,3.285446750000119
36,ok,0.002,0.0,1e-07,0.35,0.6,1.2,0.004,0.1,0.05,1e-07,0.05848914636772833,24.658494339869982,0.6820780907473979,0.2880859375,1180,1180,6,0.003026091632952616,1.0,3.3710913751274347
37,ok,0.002,0.0002,1e-07,0.05,0.6,1.2,0.008,0.1,0.2,1e-07,0.053004244295714084,25.513787060661027,0.8233383002529452,0.11669921875,478,478,6,0.004471660930233187,1.0,0.9998611251357943
38,ok,0.02,5e-05,1e-08,0.08,0.2,0.8,0.02,0.1,0.05,1e-07,0.0943123437441835,20.50862924829618,0.6069725077097656,0.022216796875,91,91,4,0.008288795483393797,0.3333333333333333,0.32431641686707735
39,ok,0.04,0.0002,5e-07,0.12,0.6,1.2,0.012,0.2,0.2,1e-07,0.07894749348237518,22.053233078548473,0.6862967068261729,0.038330078125,157,157,6,0.008149822867711471,1.0,0.5265796249732375
40,ok,0.04,5e-05,2e-06,0.35,0.2,0.25,0.004,0.1,0.1,0.0,0.05859693051723156,24.64250266064257,0.7595975840557164,0.20166015625,826,826,6,0.013913769936929344,0.6666666666666666,2.6285316250286996
41,ok,0.04,0.0002,5e-07,0.12,0.35,1.2,0.02,0.2,0.1,0.0,0.09606408731817587,20.34877878034844,0.6050964898223671,0.0185546875,76,76,4,0.009708107867130195,0.3333333333333333,0.3073002500459552
42,ok,0.01,5e-05,2e-06,0.05,0.6,0.8,0.004,0.2,0.2,0.0,0.05231213613517335,25.627950909037654,0.8460605798164469,0.14306640625,586,586,6,0.0053167379546771205,1.0,2.3088736669160426
43,ok,0.04,0.0002,2e-06,0.05,0.2,0.8,0.004,0.05,0.05,1e-07,0.05486662222099238,25.21383551302336,0.7456903582407445,0.239013671875,979,979,6,0.0077083908822378165,0.5,2.7568032080307603
44,ok,0.02,0.0,2e-06,0.35,0.2,0.8,0.004,0.05,0.2,0.0,0.0541049378288748,25.33526195333128,0.844092809449692,0.14306640625,586,586,6,0.009167085344369993,0.3333333333333333,2.495597541797906
45,ok,0.01,0.0,1e-08,0.08,0.6,0.5,0.004,0.1,0.2,1e-06,0.05772042352875987,24.773409817846503,0.6880740899166577,0.2880859375,1180,1180,6,0.0030718431940085413,1.0,3.001766750123352
46,ok,0.005,0.0002,1e-07,0.12,0.2,1.2,0.004,0.2,0.2,1e-06,0.054957447269067934,25.199468962458056,0.7167344524892695,0.2880859375,1180,1180,6,0.00384675845873285,1.0,3.5161429999861866
47,ok,0.04,0.0005,1e-08,0.35,0.35,0.5,0.012,0.05,0.1,1e-07,0.07833146853902961,22.121274626707287,0.7074671564429781,0.045654296875,187,187,6,0.014395101464528697,0.3333333333333333,0.556354874977842
48,ok,0.04,0.0,1e-07,0.08,0.2,0.25,0.004,0.1,0.2,1e-07,0.05861086266092526,24.64043772861316,0.7011757376544193,0.2880859375,1180,1180,6,0.005241686407736728,1.0,2.485976542113349
49,ok,0.04,0.0002,1e-08,0.2,0.6,0.5,0.02,0.05,0.2,1e-07,0.09709804440093371,20.255790337872025,0.6011212498760548,0.015625,64,64,4,0.010179964145689448,1.0,0.18401462491601706
50,ok,0.002,0.0,1e-07,0.35,0.35,0.8,0.004,0.1,0.05,0.0,0.058384044666083816,24.674116434539787,0.6836614088275144,0.278564453125,1141,1141,6,0.0030373960307310565,1.0,3.6229431668762118
