method,heat_sigma,RMSE,PSNR,SSIM,C_rel,iterations,kappa,dt,threshold,threshold_multiplier,weight
Heat,0.25,0.07883349063450276,22.065784861425296,0.5268050422259623,1.0,,,,,,
Heat,0.346875,0.07436042949424189,22.573162209514187,0.5430580046427793,1.0,,,,,,
Heat,0.44375,0.06130886641335747,24.24953427604443,0.6024806686820436,1.0,,,,,,
Heat,0.540625,0.051966784930519636,25.685483023606675,0.6741664801285061,1.0,,,,,,
Heat,0.6375,0.04980649059647228,26.054281158237593,0.7254481826725437,1.0,,,,,,
Heat,0.734375,0.05121023938685089,25.812863880248074,0.7552716831127753,1.0,,,,,,
Heat,0.83125,0.054053324934465706,25.343551730317593,0.7707928320129837,1.0,,,,,,
Heat,0.928125,0.05754290825476004,24.80016384749699,0.7765388163403155,1.0,,,,,,
Heat,1.025,0.06131931055465121,24.24805473584243,0.7749101943792454,1.0,,,,,,
Heat,1.1218750000000002,0.06516863395767376,23.719227648789,0.7676471588799981,1.0,,,,,,
Heat,1.21875,0.06895258347040338,23.228989146420744,0.7563464676857687,1.0,,,,,,
Heat,1.315625,0.0725650973970582,22.7854443498141,0.7425363550441427,1.0,,,,,,
Heat,1.4125,0.07594886005208033,22.389574805163207,0.7275256954644578,1.0,,,,,,
Heat,1.5093750000000001,0.07906855343813043,22.039924131242184,0.7123418045953371,1.0,,,,,,
Heat,1.60625,0.08191355225126368,21.73288480214575,0.6977090119247131,1.0,,,,,,
Heat,1.703125,0.08449124768236813,21.463765532276863,0.6840818038098598,1.0,,,,,,
Heat,1.8,0.08681466984255959,21.22813764085751,0.6716724001879707,1.0,,,,,,
Anisotropic,,0.07581859004012151,22.40448592377558,0.5386773442691489,1.0,10,0.04,0.12,,,
Anisotropic,,0.07482837472126064,22.51867375176102,0.54310975892843,1.0,10,0.04,0.18,,,
Anisotropic,,0.06928540017189325,23.187165406691772,0.5706288449785576,1.0,10,0.06,0.12,,,
Anisotropic,,0.06634484532416343,23.563856281683645,0.5887801856373566,1.0,10,0.06,0.18,,,
Anisotropic,,0.0598090258448653,24.464665424302563,0.6329872826527275,1.0,10,0.08,0.12,,,
Anisotropic,,0.055393792858909684,25.130777946641828,0.6818476273886825,1.0,10,0.08,0.18,,,
Anisotropic,,0.050824707395214525,25.878502259508068,0.7215696435430794,1.0,10,0.1,0.12,,,
Anisotropic,,0.047924957788277385,26.38876521942106,0.7872456811509971,1.0,10,0.1,0.18,,,
Anisotropic,,0.04336982658078151,27.256246288479787,0.8257442885835103,1.0,10,0.13,0.12,,,
Anisotropic,,0.045416887241914575,26.855652690738374,0.8617615509416388,1.0,10,0.13,0.18,,,
Anisotropic,,0.04284844089433525,27.361299518365534,0.8585991113913547,1.0,10,0.16,0.12,,,
Anisotropic,,0.05039989321867213,25.951407673704807,0.8465484453396862,1.0,10,0.16,0.18,,,
Anisotropic,,0.07395337945231853,22.62083950461723,0.5472240178556711,1.0,20,0.04,0.12,,,
Anisotropic,,0.07260999158369434,22.780072271647246,0.5538971376199578,1.0,20,0.04,0.18,,,
Anisotropic,,0.06388773921158786,23.891649598541807,0.6070801925252438,1.0,20,0.06,0.12,,,
Anisotropic,,0.06061685113721962,24.3481325534454,0.6373744782401473,1.0,20,0.06,0.18,,,
Anisotropic,,0.053037511492785676,25.508337222346626,0.7226488600348674,1.0,20,0.08,0.12,,,
Anisotropic,,0.05238448589427044,25.615946278693166,0.7623681986123371,1.0,20,0.08,0.18,,,
Anisotropic,,0.04775675027552463,26.419304669996365,0.8256138171078872,1.0,20,0.1,0.12,,,
Anisotropic,,0.05018170751999916,25.989091302876677,0.8429839831356462,1.0,20,0.1,0.18,,,
Anisotropic,,0.04988585681842748,26.0404512824566,0.8591561621847946,1.0,20,0.13,0.12,,,
Anisotropic,,0.05878178164859211,24.615145095984023,0.8172433268177002,1.0,20,0.13,0.18,,,
Anisotropic,,0.05838846014105115,24.67345956195925,0.8072245509624297,1.0,20,0.16,0.12,,,
Anisotropic,,0.06809499875502417,23.33769567447721,0.7460356356985585,1.0,20,0.16,0.18,,,
Anisotropic,,0.07259095084599174,22.782350297457445,0.5539791929416931,1.0,30,0.04,0.12,,,
Anisotropic,,0.07112074617022303,22.9600739114232,0.561691615114732,1.0,30,0.04,0.18,,,
Anisotropic,,0.06054489050056252,24.358450038376414,0.6381886707912188,1.0,30,0.06,0.12,,,
Anisotropic,,0.05784272300346347,24.755025407789788,0.67609141286892,1.0,30,0.06,0.18,,,
Anisotropic,,0.052398471489878154,25.613627631773376,0.7631897154119928,1.0,30,0.08,0.12,,,
Anisotropic,,0.05337404662898394,25.453397385931105,0.7798797653143915,1.0,30,0.08,0.18,,,
Anisotropic,,0.05022128587023662,25.98224343532975,0.8432332273704428,1.0,30,0.1,0.12,,,
Anisotropic,,0.05501787951178869,25.189923042313026,0.8345432806007446,1.0,30,0.1,0.18,,,
Anisotropic,,0.058861170505260796,24.603422116586348,0.8169695695669666,1.0,30,0.13,0.12,,,
Anisotropic,,0.06724003020116401,23.447442003343795,0.7642662533105925,1.0,30,0.13,0.18,,,
Anisotropic,,0.06802851668806223,23.34617996818026,0.746653970665086,1.0,30,0.16,0.12,,,
Anisotropic,,0.07202650444279281,22.850153233841066,0.71978412115159,1.0,30,0.16,0.18,,,
Wavelet soft,,0.05403350534717287,25.3467371461426,0.6549481972858769,1.0,,,,0.0007647502426266067,0.15,
Wavelet soft,,0.04808270555781574,26.36022206146614,0.7416812607054186,1.0,,,,0.0012611670667877373,0.24736842105263157,
Wavelet soft,,0.048821207369168965,26.227829689985,0.8102612491384329,1.0,,,,0.0017575838909488681,0.3447368421052632,
Wavelet soft,,0.05338449544920201,25.451697151031205,0.8379435541937578,1.0,,,,0.002254000715109999,0.4421052631578948,
Wavelet soft,,0.05906126074105107,24.573945733589603,0.829318099831259,1.0,,,,0.0027504175392711297,0.5394736842105263,
Wavelet soft,,0.06460131866696428,23.795172338568587,0.8026916704032937,1.0,,,,0.00324683436343226,0.636842105263158,
Wavelet soft,,0.06980725587584055,23.121988675598786,0.77037930535254,1.0,,,,0.003743251187593391,0.7342105263157895,
Wavelet soft,,0.07454548309183062,22.551573329323247,0.7400781813494687,1.0,,,,0.004239668011754522,0.8315789473684212,
Wavelet soft,,0.07899568674085136,22.047932421225727,0.7123765675001994,1.0,,,,0.0047360848359156524,0.9289473684210527,
Wavelet soft,,0.08319272785112418,21.598292703070374,0.6880057613043257,1.0,,,,0.005232501660076784,1.0263157894736843,
Wavelet soft,,0.08702253110650596,21.207365782483514,0.6653353401526865,1.0,,,,0.005728918484237913,1.1236842105263158,
Wavelet soft,,0.09045039204699913,20.87179092799504,0.6461105028908537,1.0,,,,0.0062253353083990435,1.2210526315789474,
Wavelet soft,,0.09338924402847763,20.594062802608434,0.6320868220964082,1.0,,,,0.006721752132560175,1.318421052631579,
Wavelet soft,,0.09603354091743524,20.35154115352656,0.6205838739563189,1.0,,,,0.007218168956721305,1.4157894736842105,
Wavelet soft,,0.09845290313102466,20.135429461478168,0.6119546764796829,1.0,,,,0.007714585780882437,1.5131578947368423,
Wavelet soft,,0.10076196154069757,19.934067732964586,0.6058029038311176,1.0,,,,0.008211002605043566,1.6105263157894738,
Wavelet soft,,0.10294039560132826,19.748283341661853,0.6003632487509487,1.0,,,,0.008707419429204699,1.7078947368421054,
Wavelet soft,,0.10496898612983298,19.578779950460458,0.59560854251741,1.0,,,,0.009203836253365828,1.805263157894737,
