operating_point,refit_alpha_scale,RMSE,PSNR,SSIM,C_rel,refit_alpha
best_rmse,original,0.051336828290754664,25.791419331278963,0.8036950871249351,0.20166015625,
best_rmse,0.0,0.05536815987563983,25.134798194791202,0.7524186833007163,0.20166015625,0.0
best_rmse,0.1,0.05527480127011898,25.149456203368818,0.752908808874862,0.20166015625,0.001
best_rmse,0.25,0.05516762366996821,25.166314455065542,0.7535785073540782,0.20166015625,0.0025
best_rmse,0.5,0.055072240532869646,25.181345090578464,0.7545274462333382,0.20166015625,0.005
best_rmse,1.0,0.05516482663978013,25.166754845820304,0.7558484436177804,0.20166015625,0.01
best_rmse,2.0,0.05627451727648917,24.9937644338989,0.756558976490275,0.20166015625,0.02
compressed,original,0.05311779009041298,25.495200032553637,0.8532960205310701,0.088134765625,
compressed,0.0,0.05380329706933388,25.383822198514657,0.852612016178008,0.088134765625,0.0
compressed,0.1,0.05374712726195591,25.39289486922272,0.8526410466517041,0.088134765625,0.001
compressed,0.25,0.05367286101508179,25.404905083286337,0.8526578465477253,0.088134765625,0.0025
compressed,0.5,0.05357443820874265,25.420847487056232,0.852617204027213,0.088134765625,0.005
compressed,1.0,0.05346463303316099,25.438668194210866,0.852295973358516,0.088134765625,0.01
compressed,2.0,0.053538652261557386,25.426651311743672,0.8508203272680513,0.088134765625,0.02
