group,case,parameter,scale,noise_seed,RMSE,PSNR,SSIM,C_rel,iterations,stopped_before_max,final_relative_update,final_relative_energy_change,convergence_tolerances_met_at_final_step,energy_monotone_all_steps,safeguard_accept_rate,mean_safeguard_factor,total_tree_distance
parameter_perturbation,base,base,1.0,11,0.053278066063616805,25.469030959466473,0.8521806550468977,0.088134765625,15,True,1.5413800692773483e-07,1.472638788438992e-10,True,True,1.0,0.8667317708333333,39
parameter_perturbation,initial_threshold_x0.5,initial_threshold,0.5,11,0.05335287437559618,25.456843561591317,0.8539573971073046,0.091064453125,20,False,0.023121331194841794,0.002796692930118682,False,True,1.0,0.95001220703125,269
parameter_perturbation,initial_threshold_x2,initial_threshold,2.0,11,0.08474931504490034,21.43727606271524,0.6491039626124474,0.026611328125,11,True,1.3681748168448997e-07,9.440831035892784e-11,True,True,1.0,0.7500443892045454,13
parameter_perturbation,h_x0.5,h,0.5,11,0.05323450526435897,25.476135553999818,0.8524209575270875,0.088134765625,20,False,0.0003559547318080312,1.3607527715603234e-05,False,True,1.0,1.0,39
parameter_perturbation,h_x2,h,2.0,11,0.05329901812756945,25.465615829114434,0.8520841234569767,0.088134765625,10,True,8.701399189429768e-08,1.321650609038339e-10,True,True,1.0,0.800048828125,39
parameter_perturbation,alpha_x0.5,alpha,0.5,11,0.053105067564160675,25.49728068566189,0.8533724994907727,0.088134765625,18,True,1.4299768383323685e-07,1.121975730227044e-10,True,True,1.0,0.8889973958333334,39
parameter_perturbation,alpha_x2,alpha,2.0,11,0.05376997371861759,25.38920351589639,0.8494046864638061,0.088134765625,13,True,2.019060520489369e-08,1.0455059986860518e-10,True,True,1.0,0.8076970027043269,39
parameter_perturbation,beta_x0.5,beta,0.5,11,0.05315162365888527,25.489669284968357,0.8531649579255141,0.088134765625,13,True,7.974589751690184e-08,1.155588890726308e-10,True,True,1.0,0.84619140625,39
parameter_perturbation,beta_x2,beta,2.0,11,0.056317536503442206,24.987127015657244,0.8300479110772252,0.082275390625,18,True,3.091149523780204e-07,6.601530563232801e-11,True,True,1.0,0.8369140625,47
parameter_perturbation,tau_x0.5,tau,0.5,11,0.053278066063616805,25.469030959466473,0.8521806550468979,0.088134765625,15,True,1.5413800692705315e-07,1.591549030442601e-10,True,True,1.0,0.8667317708333333,39
parameter_perturbation,tau_x2,tau,2.0,11,0.06143973120612662,24.231013859515045,0.7940519739637782,0.068359375,14,True,8.78994500546092e-08,8.876358539594606e-11,True,True,1.0,0.8214634486607143,66
noise_realization,noise_seed_11,noise_seed,1.0,11,0.053278066063616805,25.469030959466473,0.8521806550468979,0.088134765625,15,True,1.541380069279899e-07,1.472638788438992e-10,True,True,1.0,0.8667317708333333,39
noise_realization,noise_seed_17,noise_seed,1.0,17,0.05250834754978266,25.59543297697575,0.8589492100396541,0.09033203125,16,True,1.5119819515638178e-07,9.663274757767912e-11,True,True,1.0,0.82037353515625,40
noise_realization,noise_seed_23,noise_seed,1.0,23,0.05347206479286175,25.437460910911614,0.8447369625073754,0.0859375,15,True,1.8964862862748718e-08,1.0459890754708853e-10,True,True,1.0,0.8666748046875,50
noise_realization,noise_seed_31,noise_seed,1.0,31,0.05481190235536867,25.22250249236299,0.8520216308390125,0.08447265625,15,True,8.152259275864424e-08,7.804738372607188e-11,True,True,1.0,0.8333658854166667,47
noise_realization,noise_seed_43,noise_seed,1.0,43,0.054087174023815326,25.33811418440512,0.8525313295685151,0.08447265625,15,True,3.712432656708401e-08,1.4734419032153062e-10,True,True,1.0,0.8666829427083333,47
