i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
0,1,"(0, 0)","(0.25, 0.25)","(0.0, 0.0)","(0.5, 0.5)",0.1249999999999989,9.266130444933088e-31,0.015624999999999726
1,3,"(0, 4)","(0.0625, 0.5625)","(0.0, 0.5)","(0.125, 0.625)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
2,3,"(1, 4)","(0.1875, 0.5625)","(0.125, 0.5)","(0.25, 0.625)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
3,5,"(4, 20)","(0.140625, 0.640625)","(0.125, 0.625)","(0.15625, 0.65625)",0.004687499999999959,1.3344847372168021e-33,2.1972656249999616e-05
4,6,"(8, 42)","(0.1328125, 0.6640625)","(0.125, 0.65625)","(0.140625, 0.671875)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
5,6,"(8, 43)","(0.1328125, 0.6796875)","(0.125, 0.671875)","(0.140625, 0.6875)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
6,7,"(18, 86)","(0.14453125, 0.67578125)","(0.140625, 0.671875)","(0.1484375, 0.6796875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
7,7,"(18, 87)","(0.14453125, 0.68359375)","(0.140625, 0.6796875)","(0.1484375, 0.6875)",0.0013538146926083212,6.142299015012907e-08,1.7713912317720345e-06
8,7,"(19, 87)","(0.15234375, 0.68359375)","(0.1484375, 0.6796875)","(0.15625, 0.6875)",0.006212007240915249,5.671916468163855e-07,3.80218423143671e-05
9,7,"(19, 86)","(0.15234375, 0.67578125)","(0.1484375, 0.671875)","(0.15625, 0.6796875)",0.002733059647587248,4.170598964568896e-07,7.052555140812842e-06
10,6,"(9, 42)","(0.1484375, 0.6640625)","(0.140625, 0.65625)","(0.15625, 0.671875)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
11,7,"(20, 84)","(0.16015625, 0.66015625)","(0.15625, 0.65625)","(0.1640625, 0.6640625)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
12,7,"(21, 84)","(0.16796875, 0.66015625)","(0.1640625, 0.65625)","(0.171875, 0.6640625)",0.0036367402882748158,5.888534694698441e-07,1.2637026454891347e-05
13,7,"(21, 85)","(0.16796875, 0.66796875)","(0.1640625, 0.6640625)","(0.171875, 0.671875)",0.006862370203734623,2.066233795208216e-07,4.688550143358396e-05
14,7,"(20, 85)","(0.16015625, 0.66796875)","(0.15625, 0.6640625)","(0.1640625, 0.671875)",0.003636740288274816,5.888534694698441e-07,1.263702645489135e-05
15,7,"(20, 86)","(0.16015625, 0.67578125)","(0.15625, 0.671875)","(0.1640625, 0.6796875)",0.006827186895663643,2.1697128462528514e-07,4.639350962369609e-05
16,7,"(20, 87)","(0.16015625, 0.68359375)","(0.15625, 0.6796875)","(0.1640625, 0.6875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
17,7,"(21, 87)","(0.16796875, 0.68359375)","(0.1640625, 0.6796875)","(0.171875, 0.6875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
18,7,"(21, 86)","(0.16796875, 0.67578125)","(0.1640625, 0.671875)","(0.171875, 0.6796875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
19,6,"(11, 43)","(0.1796875, 0.6796875)","(0.171875, 0.671875)","(0.1875, 0.6875)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
20,7,"(23, 85)","(0.18359375, 0.66796875)","(0.1796875, 0.6640625)","(0.1875, 0.671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
21,7,"(22, 85)","(0.17578125, 0.66796875)","(0.171875, 0.6640625)","(0.1796875, 0.671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
22,7,"(22, 84)","(0.17578125, 0.66015625)","(0.171875, 0.65625)","(0.1796875, 0.6640625)",0.006827186895663643,2.1697128462528514e-07,4.639350962369609e-05
23,7,"(23, 84)","(0.18359375, 0.66015625)","(0.1796875, 0.65625)","(0.1875, 0.6640625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
24,7,"(23, 83)","(0.18359375, 0.65234375)","(0.1796875, 0.6484375)","(0.1875, 0.65625)",0.006212007240915249,5.671916468163853e-07,3.80218423143671e-05
25,7,"(23, 82)","(0.18359375, 0.64453125)","(0.1796875, 0.640625)","(0.1875, 0.6484375)",0.0013538146926083212,6.142299015012907e-08,1.7713912317720345e-06
26,7,"(22, 82)","(0.17578125, 0.64453125)","(0.171875, 0.640625)","(0.1796875, 0.6484375)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
27,7,"(22, 83)","(0.17578125, 0.65234375)","(0.171875, 0.6484375)","(0.1796875, 0.65625)",0.002733059647587248,4.170598964568896e-07,7.052555140812842e-06
28,6,"(10, 41)","(0.1640625, 0.6484375)","(0.15625, 0.640625)","(0.171875, 0.65625)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
