noise_seed,target_initial_C_rel,target_initial_basis_size,automatic_threshold,initial_basis_size,initial_C_rel,RMSE,PSNR,SSIM,C_rel,final_basis_size,iterations,energy_monotone_all_steps,safeguard_accept_rate,total_tree_distance,final_relative_update,final_relative_energy_change
11,0.1,409,0.009361700655663762,409,0.099853515625,0.05972965543812529,24.476199811119997,0.8237671216173991,0.076416015625,313,12,True,1.0,32,0.00046830479943697415,4.449748455708626e-06
11,0.12,491,0.007663327536817878,490,0.11962890625,0.05254850676907328,25.588792409523755,0.8629560734365562,0.091064453125,373,12,True,1.0,39,0.0005086744990761998,1.102132314102837e-05
11,0.14,573,0.006184532757018114,571,0.139404296875,0.052262052674211,25.636270733514888,0.85696989599839,0.092529296875,379,12,True,1.0,64,0.0004969986950747833,1.2376568737082823e-05
17,0.1,409,0.009367203785579007,409,0.099853515625,0.0599219278161102,24.448284458097454,0.807924721925803,0.072021484375,295,12,True,1.0,38,0.00044607784328921024,3.903788895432969e-06
17,0.12,491,0.00802111243759405,490,0.11962890625,0.05248303182628402,25.599621693915854,0.8591372776666056,0.09033203125,370,12,True,1.0,40,0.0005052916549199124,1.1005129076493142e-05
17,0.14,573,0.00602337101791663,571,0.139404296875,0.05297798235561988,25.518091712963887,0.8423049404850427,0.092529296875,379,12,True,1.0,64,0.000500643568855779,8.056058230733004e-06
23,0.1,409,0.009486279479454749,409,0.099853515625,0.06010815688941511,24.42133177402599,0.8278207116788554,0.076416015625,313,12,True,1.0,32,0.0004626192789376237,2.9220879838354448e-06
23,0.12,491,0.00838708821347474,490,0.11962890625,0.052500808065472394,25.596680242099936,0.8674241630182936,0.091064453125,373,12,True,1.0,39,0.000504236974681423,8.480806425472828e-06
23,0.14,573,0.006063493301740447,571,0.139404296875,0.05229176907685266,25.631333307098267,0.8588826671256292,0.092529296875,379,12,True,1.0,64,0.0004987222697585776,9.303938709127052e-06
31,0.1,409,0.009138726523374349,409,0.099853515625,0.05756086861158761,24.79745322091674,0.8362023149654382,0.08154296875,334,12,True,1.0,25,0.00047580518360581056,2.823113043281515e-06
31,0.12,491,0.007988673576072526,490,0.11962890625,0.05295506552892815,25.52184980422208,0.8577406937819224,0.091064453125,373,12,True,1.0,39,0.0005027827243203192,7.253932452878143e-06
31,0.14,573,0.006211961431675294,571,0.139404296875,0.05336702279941507,25.454540492495177,0.8577839455647733,0.093994140625,385,12,True,1.0,62,0.0004920526317282203,8.244130028032401e-06
43,0.1,409,0.00927716072546532,409,0.099853515625,0.05902433989700167,24.57937722372006,0.8226479671892788,0.076416015625,313,12,True,1.0,32,0.0004653407532848657,4.789703826107898e-06
43,0.12,491,0.007737593040580943,490,0.11962890625,0.05368412505467066,25.403082412798117,0.853841108230318,0.085205078125,349,12,True,1.0,47,0.00048569739308816575,8.267949794043674e-06
43,0.14,573,0.005919337670604689,571,0.139404296875,0.05384313089353655,25.377393890149456,0.8483175426960019,0.088134765625,361,12,True,1.0,70,0.00047099018284413275,8.64823356289927e-06
